PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Machilipatnam (North Port)-NH 216 (SH-46) Four Lane Green field Road Project (Sagarmala),1518,New Unit,2320,No Information,"Engineering, Procurement & Construction",,Andhra Pradesh,14-Apr-16,14/04/16,2320,2320,0
Machilipatnam (South Port)-NH 9 Four Lane Green field Road Project (Bharatmala),1517,New Unit,5948.1,No Information,"Engineering, Procurement & Construction",,Andhra Pradesh,14-Apr-16,09/08/20,5948.1,4580,1368.1
Madathukulam-Pollachi (NH-83) Four Lane Highway Project (Package-3 of Dindigul-Pollachi) (Bharatmala),1501,Substantial Expansion,14093.8,Under Implementation,Hybrid Annuity,,Tamil Nadu,04-May-18,21/07/22,14093.8,7267.2,6826.6
Madhura Bazaar-Chullikad Road Upgradation Project (Bharatmala),1721,Substantial Expansion,2794,Announced,,Feb-24,Kerala,12-Apr-18,09/08/20,2794,1614.9,1179.1
Madiaon-IIM Crossing (NH-24) Elevated Corridor Project,1310,New Unit,1280,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,23-May-17,05/01/22,1280,1360,-80
Madurai Four Lane Ring Road Project,1498,Substantial Expansion,7000,Under Implementation,"Engineering, Procurement & Construction",,Tamil Nadu,28-Jan-09,14/05/18,7000,2000,5000
Madurai Kamaraj University (MKU) Flyover Project,1836,New Unit,520.4,Under Implementation,,,Tamil Nadu,07-Oct-15,19/01/21,520.4,536.8,-16.4
Madurai-Chettikulam (NH-785) Four Laning Elevated Highway (Flyover) Project,1482,Substantial Expansion,6130,Completed,"Engineering, Procurement & Construction",Apr-23,Tamil Nadu,06-Feb-18,06/04/23,6130,5490.9,639.1
Madurai-Kanniakumari Section (NS-40/TN) NH-7 Project,466,Substantial Expansion,2462,Completed,,Sep-09,Tamil Nadu,31-Dec-03,01/07/09,2462,4742.1,-2280.1
Madurai-Kanniyakumari (NS-41/TN) Highway Project,467,Substantial Expansion,3233.6,Completed,,Apr-11,Tamil Nadu,31-Dec-03,31/12/03,3233.6,3233.6,0
Madurai-Kanniyakumari Section (NS-42/TN) NH-7 Highway Project,468,Substantial Expansion,3428,Completed,,Aug-10,Tamil Nadu,31-Dec-03,31/08/10,3428,5074.9,-1646.9
Madurai-Paramakudi (NH-49) Four Laning Highway Project (Madurai-Ramanathapuram Highway),888,New Unit,13871.1,Completed,"Engineering, Procurement & Construction",Mar-19,Tamil Nadu,01-Nov-10,07/04/15,13871.1,13871.1,0
Madurai-Tirunelveli Section To Panagudi (NS-43/TN) Highway Project,414,Substantial Expansion,2204,Completed,,Aug-09,Tamil Nadu,31-Mar-04,01/07/09,2204,2240,-36
Madurai-Tirunelveli section including Madurai Bypass (NS-39/TN) NH-7 Project,268,Substantial Expansion,3825,Completed,,Sep-09,Tamil Nadu,01-Sep-03,01/07/09,3825,1200,2625
Madurai-Tirunelveli-Panagudi (NH-7) Four Lane Road Project,548,Substantial Expansion,6850,No Information,"Design, Build, Finance, Operate and Transfer (Toll) basis",,Tamil Nadu,17-Dec-08,27/05/12,6850,1400,5450
Mah/Kar Border-Haveri(Belgaum-Dharwad) Highway Project,83,Substantial Expansion,2790,Completed,"Engineering, Procurement & Construction",Jun-07,Karnataka,01-Dec-00,01/01/02,2790,3000,-210
Mah/Kar Border-Haveri(Hubli-Haveri) Highway Project,114,Substantial Expansion,2801.9,Completed,"Engineering, Procurement & Construction",Mar-08,Karnataka,31-Mar-01,31/10/07,2801.9,2560,241.9
Mahatma Gandhi Setu Revamp Project,879,Renovation & Modernisation,17420.1,Completed,"Engineering, Procurement & Construction",Jun-22,Bihar,30-May-10,22/06/16,17420.1,290,17130.1
Maheshkhunt-Saharsa-Purnea (NH-107 & 231) Two Laning Road Project (Package-II),1250,Substantial Expansion,7360,Under Implementation,"Engineering, Procurement & Construction",Jun-23,Bihar,15-Jun-10,29/04/18,7360,6419.6,940.4
Maheshkoot-Saharsa-Purnea (NH-107 & 231) Two Laning Road Project (Package-I),1129,Substantial Expansion,6445,Under Implementation,"Engineering, Procurement & Construction",Jun-23,Bihar,15-Jun-10,02/04/21,6445,10000,-3555
Mahua-Jaipur Highway (NH-11) Project,616,Substantial Expansion,5783,Completed,Build Operate Transfer,Sep-09,Rajasthan,15-Jul-03,30/06/09,5783,4830,953
Mahulia-Baharagora-JH/WB Border (NH-33 & NH-6) Four Laning Highway Project,1036,Substantial Expansion,9971.5,Completed,"Engineering, Procurement & Construction",Oct-19,Jharkhand,15-Mar-10,11/02/16,9971.5,10832.8,-861.3
Mahuva-Kagavadar (NH-8E & NH-51) (Package-III Bhavnagar-Veraval Section) Four Lane Highway Project,1903,Substantial Expansion,6038,Under Implementation,Hybrid Annuity,,Gujarat,03-May-12,21/12/22,6038,7640,-1602
Majholi-Katra-Yajuar-Kharka Basant-Majhaur-Baher-Pupri-Charout (NH-527C)Two-Lane Highway Project,1182,New Unit,5371.7,Under Implementation,"Engineering, Procurement & Construction",May-23,Bihar,31-Aug-12,16/12/21,5371.7,4000,1371.7
Major Bridge on Chakan River to Major Bridge on Mej River Eight Lane Carriageway Project (Package-11 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1562,Substantial Expansion,8849.5,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Mar-98,28/09/18,8849.5,8849.5,0
Major Bridge on Mej River to Junction with SH-37A Eight Lane Carriageway Project (Package 12 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1563,Substantial Expansion,8863.6,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Mar-98,28/09/18,8863.6,8863.6,0
Major bridge over Takli river near Nayagaon Jageer village to Rajasthan/MP Border Eight Lane Carriageway Project (Package 16 of Delhi-Mumbai Expressway),1569,Substantial Expansion,7097,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Mar-98,03/10/18,7097,7097,0
Majri Chowk (Panchkula) Flyover Project,449,New Unit,180,Completed,,Feb-11,Haryana,04-Apr-07,04/04/07,180,180,0
Malkangiri-Chintapalli-Narsipatnam-Waddai-Chodavaram-Subbavaram-Tuni (NH-326) Highway Project (Bharatmala),1531,Substantial Expansion,19000,No Information,,,Andhra Pradesh,29-Sep-16,01/08/17,19000,19000,0
Mall Road-Lal Bahadur Shastri National Academy of Administration (LBSNAA) Two Lane Tunnel (Mussoorie Tunnel) Project,2071,New Unit,8000,Announced,,,Uttarakhand,01-Mar-21,15/09/22,8000,7000,1000
Malout-Abohar-Sadhuwali Four Lane Road Project,1804,New Unit,6598.9,Under Implementation,Hybrid Annuity,,Punjab,23-Dec-19,08/01/20,6598.9,6598.9,0
Mamallapuram-Mugaiyur section of NH-332A Four Lane Highway Project (Phase 1),1779,Substantial Expansion,10089.9,Under Implementation,Hybrid Annuity,May-24,Tamil Nadu,01-Nov-17,21/07/22,10089.9,6174.7,3915.2
Mancherial-Chandrapur Four Lane Road Project,1564,New Unit,24970,Under Implementation,Hybrid Annuity,,Maharashtra,01-Nov-16,21/02/21,24970,15000,9970
Mancherial-Repallewada (NH-363) Four Lane Highway Project (Bharatmala),1426,Substantial Expansion,13569,Completed,Hybrid Annuity,Feb-23,Telangana,05-Dec-17,30/08/22,13569,10506.3,3062.7
Mancherial-Warangal (NH-163G) Four Lane Access Controlled Greenfield Highway Project (Ramaraopet village to Oorugonda village),1949,New Unit,25000,Under Implementation,,Mar-25,Telangana,01-Nov-18,29/11/22,25000,24549.5,450.5
Mandi Dabwali (Punjab/Haryana border)-Chautala Six Lane Road Project,1807,Substantial Expansion,8566.6,Under Implementation,Hybrid Annuity,,Haryana,10-Jan-20,05/06/20,8566.6,8566.6,0
Mandi Dabwali-Panipat Four Lane Highway Project,2093,New Unit,143020,Announced,,,Haryana,01-Jan-21,03/02/23,143020,143020,0
Manewal (Ludhiana) to Bheora (Rupnagar) including Spur to Kharar with Ludhiana Bypass (Ludhiana-Rupnagar NH-205K) Six Lane Access Controlled Greenfield Highway Project (Package-2),1993,Substantial Expansion,9927.1,Under Implementation,Hybrid Annuity,,Punjab,01-Aug-20,15/01/21,9927.1,9927.1,0
Mangalore City Bypass (NH-66) Project (Mulki-Thokkottu Road),1209,New Unit,25000,No Information,,,Karnataka,01-Sep-16,05/03/19,25000,28000,-3000
Mangalore-Bantwal N H-48 Project,28,Renovation & Modernisation,750,No Information,,,Karnataka,01-Feb-98,01/03/98,750,750,0
Mangalore-Shimoga Two-Laning Highway Project,799,Substantial Expansion,17860,No Information,,,Karnataka,24-Jul-10,23/08/11,17860,5640,12220
Mangalwar-Udaipur (KU-VI) Highway Project,129,Substantial Expansion,1738,Completed,"Engineering, Procurement & Construction",Jan-05,Rajasthan,01-Jun-01,31/03/04,1738,2400,-662
Mania-Dholpur Highway Project,967,Substantial Expansion,217.1,Completed,"Engineering, Procurement & Construction",Mar-01,Rajasthan,01-Oct-99,01/10/99,217.1,217.1,0
Manoharpur-Dausa (NH-11A) Two-Laning Highway Project,1190,New Unit,2240,Completed,"Engineering, Procurement & Construction",Jul-19,Rajasthan,01-Mar-08,28/02/18,2240,2380,-140
Manu-Agartala (NH-44) Highway Project,363,Substantial Expansion,9680,No Information,,,Tripura,01-Dec-03,01/07/07,9680,9680,0
Mataur (Kangra)-Shimla (NH-88) Four Laning Highway Project,1219,Substantial Expansion,100000,Under Implementation,Hybrid Annuity,,Himachal Pradesh,22-Jul-13,03/04/23,100000,49050,50950
Mathura-Agra Highway (NH-2) Project,382,Renovation & Modernisation,26,No Information,,,Uttar Pradesh,12-Feb-04,01/03/04,26,26,0
Mathura-Hathras-Badaun-Bareilly (NH-530B) Four Lane Highway Project,1681,Substantial Expansion,76690,Under Implementation,Hybrid Annuity,,Uttar Pradesh,13-Jun-17,07/01/22,76690,65000,11690
Matsyafed Tourist Office-Munambam Road Upgradation Project,1739,Substantial Expansion,2587.3,No Information,,,Kerala,12-Apr-18,15/05/18,2587.3,2587.3,0
Mayyandu Beach-Thankassery Road Project,1746,New Unit,2304.6,No Information,,,Kerala,12-Apr-18,15/05/18,2304.6,2304.6,0
Medical Tiraha-Kochha Bhanwar (NH-27) Four Lane Flyover Project,3002,New Unit,610,Under Implementation,,,Uttar Pradesh,01-Apr-21,13/03/23,610,610,0
Medshi-Washim (NH-161) Four Lane Highway project (Package-II),1696,Substantial Expansion,7997.7,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,01-Apr-18,25/06/19,7997.7,6831,1166.7
Meensurutti-Chidambaram (NH-81 & NH-227) Two/Four Lane Highway Project (Package-III of Trichy-Chidambaram) (Bharatmala),1770,Substantial Expansion,7363.3,Under Implementation,Hybrid Annuity,Oct-23,Tamil Nadu,24-Nov-17,21/07/22,7363.3,6335.5,1027.8
Meerut New Bypass (NH-58) to Meerut-Najibabad (NH-119) (NH-709A) Four Lane Link Road Project (Four Lane Spur of Meerut-GarhMukteshwar Section),1938,New Unit,9920,Under Implementation,"Engineering, Procurement & Construction",Dec-23,Uttar Pradesh,01-Apr-21,23/12/21,9920,9920,0
Meerut to after bridge over river Yamuna (Haryana) via Shamli (NH-709A) Four Lane Highway Project,1684,Substantial Expansion,5862.4,Under Implementation,"Engineering, Procurement & Construction",,Haryana,08-Mar-19,29/01/20,5862.4,5023.8,838.6
Meerut-Baghpat-UP/Haryana Border (Sonipat) (NH-334B) Two Lane Highway Project (Bharatmala),1672,Substantial Expansion,2817.2,Completed,"Engineering, Procurement & Construction",Feb-23,Uttar Pradesh,01-Oct-18,07/03/19,2817.2,3710,-892.8
Meerut-Budhana-Shamli-UP/Haryana Border (Karnal) NH-709A Four Lane Highway Project,1674,Substantial Expansion,8165.5,Under Implementation,,,Uttar Pradesh,23-Mar-15,02/08/21,8165.5,7080,1085.5
Mehrauli-Gurgaon (MG Road) Six-Laning Highway Project,718,Substantial Expansion,1080,Completed,,Dec-11,Haryana,07-Dec-09,24/09/10,1080,800,280
Mehsi-Kotwa (LMNHP-11) Four-Laning Highway Project,702,Substantial Expansion,3180,Completed,,Jun-11,Uttar Pradesh,01-Dec-03,31/03/11,3180,2390,790
"Melur-Karaikudi (NH-338, 36 & 383 Ext) Four Lane Highway Project (Thanjavur-Madurai Greenfield Project) (Bharatmala)",1495,New Unit,11038.6,Under Implementation,"Engineering, Procurement & Construction",,Tamil Nadu,17-May-18,06/02/19,11038.6,7675.9,3362.7
Memmadpur-Dairi-Kharar Four Lane & IT City Chowk-Kurali Chandigarh Road Six Lane Highway Project (Bharatmala),1857,Substantial Expansion,7892.9,Under Implementation,"Engineering, Procurement & Construction",,Punjab,01-Apr-18,15/01/21,7892.9,8220,-327.1
Mettupalayam-Kakkanullah Strengthening & Widening Road Project,826,Substantial Expansion,3270,Announced & Stalled,,,Tamil Nadu,01-Jan-06,01/12/10,3270,3270,0
Mirya-Hatkhamba & Pali-Sakharpa Four Lane Highway (Package-I of Ratnagiri-Kolhapur section of NH-166) Project,1445,Substantial Expansion,10325.1,Under Implementation,Hybrid Annuity,,Maharashtra,01-Jan-17,08/10/21,10325.1,10671.3,-346.2
Mirza Chauki-Farakka (NH-80) Four Lane Highway Project (Package-I),1486,Substantial Expansion,13020,Under Implementation,Hybrid Annuity,Jul-23,Jharkhand,06-Apr-18,12/07/22,13020,6611.4,6408.6
Miyati Village-MP-Gujarat Border Eight Lane Carriageway Project (Package 25 of Delhi-Mumbai Expressway),1606,Substantial Expansion,9960,Completed,"Engineering, Procurement & Construction",Nov-22,Madhya Pradesh,31-Mar-98,17/03/22,9960,9664.3,295.7
Mohari-Satai Ghat (NH-934) Four Lane Highway Project (Package-II),2082,Substantial Expansion,7110,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,01-Apr-22,23/01/23,7110,4687.9,2422.1
Mohol-Wakhri (NH-965) Four Lane Highway Project (Package-I of Sant Dnyaneshwar Maharaj PalkhiMarg) (section of Mohol-Alandi),1441,Substantial Expansion,14380,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,29-Dec-17,08/11/21,14380,9616.7,4763.3
Mokalsar-Jalore (NH-325) Highway Project (Package-II) (Jalore-Barmer-Sirohi),1270,Substantial Expansion,1130,Completed,"Engineering, Procurement & Construction",Sep-20,Rajasthan,06-Sep-15,14/09/20,1130,1829,-699
Moradabad-Jaspur-Kashipur Four/Six Lane Road (NH-734) Project,1855,Substantial Expansion,18419.2,Under Implementation,"Engineering, Procurement & Construction",Nov-24,Uttarakhand,13-Jun-17,01/11/22,18419.2,40000,-21580.8
Morena (NH-44) Four Lane Flyover/Grade Separator Project (K.S.Choraha-New Housing Board Colony),1305,Substantial Expansion,1080,Completed,"Engineering, Procurement & Construction",Sep-20,Madhya Pradesh,29-May-17,28/09/20,1080,909.6,170.4
Morena-Rairu (Start of Gwalior bypass NS-21/MP) Highway Project,192,Substantial Expansion,695,Completed,"Engineering, Procurement & Construction",Dec-05,Madhya Pradesh,01-Jun-01,01/01/02,695,720,-25
Motihari (Piprakothi)-Raxaul (NH-28A) Two Lane Highway Project,1698,Substantial Expansion,3330,Under Implementation,"Design, Build, Finance, Operate and Transfer (Toll) basis",,Bihar,30-Apr-09,31/12/22,3330,3750.9,-420.9
Mubarakpur-Biaora (NH-12) (New NH-46) Four-Laning Road Project (Package-II of Bhopal-Biaora),1241,Substantial Expansion,8970,Completed,"Engineering, Procurement & Construction",Jan-21,Madhya Pradesh,12-Aug-10,12/01/21,8970,6980,1990
Mudhiyam Beach-Madhura Bazaar Road Upgradation Project (Bharatmala),1723,Substantial Expansion,3213.1,Announced,,Feb-24,Kerala,12-Apr-18,09/08/20,3213.1,2610,603.1
Mugaiyur-Marakkanam Four Laning section of NH-332 A Road Project (Package-II of Mahabalipuram-Puducherry section) (Bharatmala),1780,Substantial Expansion,8260,Under Implementation,Hybrid Annuity,,Tamil Nadu,01-Nov-18,22/07/21,8260,5924.4,2335.6
Mukarba Chowk-Mall Road (NS-3/DL) Highway Project,97,Substantial Expansion,575.3,Completed,"Engineering, Procurement & Construction",Jan-07,NCT of Delhi,01-Mar-01,01/01/02,575.3,520,55.3
Mukkola-Kerala/Tamil Nadu Border (Karode) (NH-66) Four Laning Highway Project (Phase 2 of Kazhakuttam-Karode Highway) (Bharatmala),1084,New Unit,11477.9,Under Implementation,"Engineering, Procurement & Construction",Aug-23,Kerala,30-Mar-12,19/07/21,11477.9,14000,-2522.1
Mulavukad Road Development Project,1521,Substantial Expansion,87,Under Implementation,,,Kerala,06-Sep-06,06/09/06,87,87,0
Muli-Level Carriageway Project (Kanhan-Automotive Square),1263,New Unit,2961.9,No Information,"Engineering, Procurement & Construction",,Maharashtra,17-Feb-17,17/02/17,2961.9,2961.9,0
Mumbai-Nashik Highway Project,415,Substantial Expansion,8080,Completed,Build Operate Transfer,Sep-11,Maharashtra,01-Dec-04,30/09/11,8080,8000,80
Mumbai-Vadodara (Baroda) (NH-8) Expressway Project (Delhi-Mumbai Expressway),48,New Unit,440000,Under Implementation,Hybrid Annuity,,Gujarat,31-Mar-98,24/10/17,440000,70000,370000
Munabao (NH-25)-Sundra-Myajlar-Dhanana-Asutar-Ghotaru-Tanot-Kishangarh (Indo-Pak Boarder) Two/Four Laning Highway Project (BM/4) (Bharatmala),1096,Substantial Expansion,16840,Completed,Hybrid Annuity,Aug-20,Rajasthan,05-Apr-15,21/08/20,16840,13750,3090
Munambam-Kara Beach Road Widening Project,1730,Substantial Expansion,5089.6,No Information,,,Kerala,12-Apr-18,15/05/18,5089.6,5089.6,0
Munger-Bhagalpur-Mirzachowki Two Lane Road Widening (NH-80) Project,2039,Substantial Expansion,10440,Under Implementation,,,Bihar,01-Jan-22,07/06/22,10440,10440,0
Munger-Mirzachowki (NH-80) Four Lane (Greenfield Corridor) Road Project,1131,Substantial Expansion,57880,Under Implementation,Hybrid Annuity,Dec-24,Bihar,15-Jul-09,07/06/22,57880,12000,45880
Munshi Puliya-Polytechnic Chauraha (NH-24A) Four Lane Flyover Project,1945,New Unit,1710,Under Implementation,"Engineering, Procurement & Construction",Sep-24,Uttar Pradesh,02-Apr-21,05/01/22,1710,1706,4
Muthukur Junction Four Lane Flyover Project,1861,New Unit,418.8,Under Implementation,,,Andhra Pradesh,15-Feb-20,04/10/20,418.8,418.8,0
Muzaffarnagar-Haridwar-Dehradun Highway (Delhi-Dehradun Corridor) Project,1692,Substantial Expansion,25850,Completed,Build Operate Transfer,Jan-23,Uttarakhand,07-Jul-04,31/01/18,25850,12320,13530
Muzaffarnagar-Miranpur (NH-709AD) Four Lane Highway Project (Package 3 of Panipat-Nagina Highway),1642,Substantial Expansion,8800,Under Implementation,"Engineering, Procurement & Construction",Dec-23,Uttar Pradesh,10-Jun-16,02/08/21,8800,5576.4,3223.6
Muzaffarnagar-Nepali Farm Section of (NH-58) Four-Laning Project,484,Substantial Expansion,12514.2,No Information,Build Operate Transfer,,Uttarakhand,08-Aug-08,11/08/08,12514.2,12514.2,0
Muzaffarpur Ring Road Project,1066,New Unit,4000,No Information,,,Bihar,01-Mar-10,17/03/15,4000,4000,0
Muzaffarpur-Barauni (NH-28) Four Lane Highway Project (Bharatmala),1443,Substantial Expansion,33370,Under Implementation,,,Bihar,26-Dec-17,02/08/22,33370,1320,32050
Muzaffarpur-Mehsi (LMNHP-12) Highway Project,703,New Unit,3347,Completed,,Mar-11,Bihar,01-Oct-03,31/03/11,3347,2750,597
Muzaffarpur-Sonbarsa (NH-77) Four-Laning Highway Project,571,New Unit,10130,Under Implementation,Build Operate Transfer,,Bihar,28-Feb-09,01/04/09,10130,9326,804
NH-148AE Road Tunnel Project (connection to NH-248BB and existingDelhi internal roads),1842,New Unit,19840,Announced,,,NCT of Delhi,05-Jun-20,11/01/22,19840,19840,0
NH-16 to Gangavaram Port Six Lane Road Project,1536,Substantial Expansion,500,No Information,,,Andhra Pradesh,14-Apr-16,14/04/16,500,500,0
NH-325 Bypass Project (Package-IV) (Jalore-Barmer-Sirohi),1272,Substantial Expansion,4475.1,Announced,"Engineering, Procurement & Construction",,Rajasthan,06-Sep-15,19/03/17,4475.1,4475.1,0
NH-45B and NH-7A Four to Six Laning Road Project (Port Connectivity) (Sagarmala),1732,Substantial Expansion,3721,Announced,,Feb-24,Tamil Nadu,01-Dec-16,07/09/21,3721,3368.2,352.8
NH-65 (near sultan nagaram)-Machilipatnam Port Green field Road Project,1520,New Unit,1750,No Information,"Engineering, Procurement & Construction",,Andhra Pradesh,31-Jan-16,16/04/16,1750,1750,0
NH-75 ROB Project (between Jhinkpani-Talaburu),3007,New Unit,960,Under Implementation,,,Jharkhand,01-Mar-23,19/03/23,960,960,0
NH-75 ROB Project (between Singhpokhariya-Jhinkpani),3008,New Unit,910,Under Implementation,,,Jharkhand,01-Mar-23,19/03/23,910,910,0
Nachna-Balan (Babla) and Nachna-Bharewala Two/Four Laning Highway Project (BM/9),1111,Substantial Expansion,4350,No Information,,,Rajasthan,05-Apr-15,20/11/15,4350,4350,0
Nagaon Bypass (AS-18) Highway Project,706,New Unit,3120,Completed,,May-11,Assam,01-Dec-03,30/05/11,3120,2300,820
Nagaon-Dharmtul (NH-37) Highway Project,279,Substantial Expansion,3020,Completed,"Engineering, Procurement & Construction",Sep-16,Assam,01-Dec-03,31/03/13,3020,2647.2,372.8
Nagapattinam-Karur Highway Project,402,Renovation & Modernisation,11000,No Information,,,Tamil Nadu,07-Feb-05,07/02/05,11000,11000,0
Nagapattinam-Thanjavur (NH-83) Two-Laning Road Project,545,Substantial Expansion,4341.2,Under Implementation,"Engineering, Procurement & Construction",May-23,Tamil Nadu,21-Nov-08,21/07/22,4341.2,6190,-1848.8
Nagaur (Karwar)-Dangyawas Road (NH-125A) (Phase 2 of Jodhpur Ring Road Project),1774,New Unit,4798.2,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,30-Jan-10,24/11/21,4798.2,5142.7,-344.5
Nagina-Kashipur (NH-74) Four Lane Highway Project,1020,Substantial Expansion,25360,Completed,"Engineering, Procurement & Construction",Dec-21,Uttarakhand,15-Dec-09,30/12/21,25360,10930,14430
Nagpur (Ajni) Inter-Modal Station Project,1316,New Unit,10533.8,Shelved,"Engineering, Procurement & Construction",,Maharashtra,08-Jul-17,08/06/20,10533.8,16000,-5466.2
Nagpur-Hyd & Hyd-Bangalore(NS-23/AP) Highway Project,194,Renovation & Modernisation,880,No Information,,,Karnataka,31-Mar-01,01/09/01,880,880,0
Nagpur-Hyderabad Highway Project,344,Renovation & Modernisation,5468.3,No Information,Build Operate Transfer,,Telangana,31-Dec-03,01/01/10,5468.3,29.8,5438.5
Nagpur-Hyderabad-Bangalore Expressway Project,1205,Substantial Expansion,276470,Announced,,,Karnataka,31-Mar-16,03/02/23,276470,350000,-73530
Nagpur-Umred (NH-353 D) Four Lane Highway Project,1685,Substantial Expansion,7819.4,Completed,"Engineering, Procurement & Construction",Oct-22,Maharashtra,08-Jan-16,01/10/22,7819.4,4200,3619.4
Nagpur-Waingang-Bhandara (NH-6) Six Lane Highway Project,1413,Substantial Expansion,9800,Announced,Hybrid Annuity,,Maharashtra,13-Nov-17,10/03/18,9800,10533,-733
Naidupeta (NH-5)-Krishnapatnam Port Four/Six Lane Greenfield Road Project (Bharatmala),1519,New Unit,13990,Under Implementation,"Engineering, Procurement & Construction",Feb-24,Andhra Pradesh,14-Apr-16,02/01/23,13990,6700,7290
Naidupeta-Turpu Kanupur Six Lane Greenfield Highway Project,2058,Substantial Expansion,13988.4,Under Implementation,Hybrid Annuity,,Andhra Pradesh,01-Oct-21,08/08/22,13988.4,13988.4,0
Naini-Allahabad Yamuna Bridge Project,47,New Unit,3080,Completed,,Jul-04,Uttar Pradesh,01-Aug-98,01/04/04,3080,2950,130
Najibabad Four Lane Bypass (NH-119) Project,1937,Substantial Expansion,5680,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Apr-21,23/12/21,5680,4040,1640
Najibabad-Afjalgarh Four Lane Bypass Road Project,2076,New Unit,11260,Under Implementation,,,Uttar Pradesh,01-Dec-21,03/08/22,11260,7996.6,3263.4
Nalagampalli Village-AP/Karnataka Border (NH-69) Four Lane Highway Project (Package-II),1218,Substantial Expansion,11000,Completed,"Engineering, Procurement & Construction",Aug-19,Andhra Pradesh,30-Sep-16,03/08/19,11000,6483.2,4516.8
Nalbari-Bijni Highway (NH-31) Project (East West Corridor),283,New Unit,7750,Completed,"Engineering, Procurement & Construction",Oct-21,Assam,01-Dec-03,01/04/09,7750,7750,0
Nanasa-Pidgaon (NH-47) Four Lane Highway Project (Package-III of Indore-Harda Economic Corridor) (Sagarmala),1654,Substantial Expansion,8470,Under Implementation,Hybrid Annuity,Oct-23,Madhya Pradesh,01-Apr-17,17/03/22,8470,5979.1,2490.9
Nandi Hills Cross-Devanahalli & Meenakunte-Hebbal Six Lane Highway Project,230,Substantial Expansion,1720.6,Completed,"Engineering, Procurement & Construction",Aug-08,Karnataka,31-Mar-01,31/03/01,1720.6,1720.6,0
Nandigama and Kanchikacherla (NH-65) Six Lane Bypass Project,1337,Substantial Expansion,4250,Completed,"Engineering, Procurement & Construction",Apr-21,Andhra Pradesh,28-Sep-17,29/04/21,4250,3286.7,963.3
Nangloi Najafgarh Road-Dwarka Sector 24 Six Lane (NH-344M) Road Project (Package 3 of Delhi 3rd Ring Road or UER-2),1799,New Unit,6853.1,Under Implementation,"Engineering, Procurement & Construction",Sep-23,NCT of Delhi,01-Apr-16,26/12/19,6853.1,6853.1,0
Nani Bhadol village-Dodka village Eight Lane Access-Controlled Expressway Project (Package 31 of Delhi-Mumbai Expressway),1636,Substantial Expansion,7894,Under Implementation,"Engineering, Procurement & Construction",May-23,Gujarat,31-Mar-98,06/08/20,7894,7844.9,49.1
Nanthoor Junction Vehicular Overpass Project,2059,New Unit,220,Announced,"Engineering, Procurement & Construction",,Karnataka,01-Apr-14,23/08/22,220,220,0
Narasannapeta-Ranastalam (NH-16) Six Laning Highway Project (Package-2),1253,Substantial Expansion,14575.8,Completed,Hybrid Annuity,Feb-22,Andhra Pradesh,17-Jan-17,17/02/22,14575.8,13231.5,1344.3
Narayanmpet-Chandrasekharpuram Six Lane Access Controlled Highway (NH-544G) Project (Package-10 of Bengaluru-Kadapa-Pulivendula-Vijayawada Expressway),1975,Substantial Expansion,5744.1,Under Implementation,,Mar-26,Andhra Pradesh,01-Aug-21,25/01/22,5744.1,5744.1,0
Narmada Six/Eight Lane Expressway Project,1546,Substantial Expansion,310000,Under Implementation,,Mar-25,Madhya Pradesh,31-Jan-17,18/09/21,310000,310000,0
"Narnaul Bypass crossing to Paniyala Mor (NH-148B) (at NH-48 junction) and, Nizampur Link Road & Narnaul Bypass crossing to Pacheri Kalan Project (Bharatmala)",1607,Substantial Expansion,12549,Completed,Hybrid Annuity,Feb-21,Haryana,30-Mar-18,18/12/18,12549,8934.2,3614.8
Nashik Phata-Khed (NH-60) Six Lane Highway Project,1421,Substantial Expansion,9782.1,Announced,"Engineering, Procurement & Construction",,Maharashtra,30-Sep-15,12/12/17,9782.1,8309.9,1472.2
Natham-Tuvarankurichi section (NH-785E) Four Lane Highway Project (Bharatmala),1647,Substantial Expansion,5263.2,Completed,"Engineering, Procurement & Construction",Mar-23,Tamil Nadu,13-Sep-18,31/03/19,5263.2,3335.2,1928
Neeleshwaram-Thaliparambha (NH-66) Six Lanning Highway Project (Bharatmala),1802,Substantial Expansion,30416.5,Under Implementation,Hybrid Annuity,,Kerala,01-Dec-19,12/10/20,30416.5,15685.9,14730.6
Nelamangala Junction to Devihalli Highway Project,606,New Unit,6750,Completed,Build Operate Transfer,Nov-11,Karnataka,31-Mar-05,31/12/10,6750,4410,2340
