,COMPANY,COMPANY_CODE,PROJECT_NAME,PROJECT_NUMBER,ASSOCIATE_TYPE,ASSOCIATE_COMPANY(AC),AC_CODE,AC_COUNTRY,AC_ADDRESS,AC_PINCODE,AC_CITY,AC_STATE,AC_TEL_NO,AC_FAX,AC_EMAIL,AC_WEBSITE
24826,National Highways Authority Of India,155597,Lucknow-Kanpur Section (EW/3B) NH-25 Project,179,Contractor,Niraj Cement Structurals Ltd.,276926,India,"Registered Office:Niraj House, Sunder Baug, Near Deonar Bus Depot, Chembur-E,",400088,Mumbai,Maharashtra,91-22-25513541,91-22-25518736,cs@niraj.co.in,www.niraj.co.in
24827,National Highways Authority Of India,155597,Lucknow-Kanpur Section(EW-8/UP) Highway Project,184,Consultant,Archtech Consultants Pvt. Ltd.,19112,India,"Registered Office:No. 11, Shakespeare Sarani,",700071,Kolkata,West Bengal,91-33-2827255,91-33-2825377,acplcal@cal3.vsnl.net.in,www.archtechconsultants.com
24828,National Highways Authority Of India,155597,Lucknow-Kanpur Section(EW-8/UP) Highway Project,184,Turnkey contractor,Villayati Ram Mittal Builders & Promoters (india) Ltd.,266845,India,"Registered Office:F-345, Krishna Nagar, Kotla Mubarakpur,",110001,New Delhi,Delhi,,,,
24829,National Highways Authority Of India,155597,Lucknow-Kanpur Section(EW-9/UP) Highway Project,229,Consultant,Archtech Consultants Pvt. Ltd.,19112,India,"Registered Office:No. 11, Shakespeare Sarani,",700071,Kolkata,West Bengal,91-33-2827255,91-33-2825377,acplcal@cal3.vsnl.net.in,www.archtechconsultants.com
24830,National Highways Authority Of India,155597,Lucknow-Kanpur Section(EW-9/UP) Highway Project,229,Contractor,T R Gupta Construction Pvt. Ltd.,246348,India,"Registered Office:19/1, Manoramaganj Indoreday Ower Plasia,",452001,Indore,Madhya Pradesh,,,amitsurana_co@yahoo.com,
24831,National Highways Authority Of India,155597,Lucknow-Kanpur Section(EW/2) Highway Project,183,Consultant,I C T Pvt. Ltd.,284672,India,"Registered Office:A - 8 & A - 9, Green Park Main,",110016,New Delhi,NCT of Delhi,91-11-40863000,91-11-26855252, info@ictonline.com,www.ictonline.com
24832,National Highways Authority Of India,155597,Lucknow-Kanpur Section(EW/2) Highway Project,183,Contractor,Villayati Ram Mittal Builders & Promoters (india) Ltd.,266845,India,"Registered Office:F-345, Krishna Nagar, Kotla Mubarakpur,",110001,New Delhi,Delhi,,,,
24833,National Highways Authority Of India,155597,Ludhiana Logistic Park Project,1372,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24834,National Highways Authority Of India,155597,Ludhiana-Talwandi Bhai (NH-95) Four Laning Highway Project (Package-II),1060,Consultant,Wadia Techno-engineering Services Ltd.,81370,India,"Registered Office:Neville House, J N Heredia Marg, Ballard Estate,",400001,Mumbai,Maharashtra,91-22-67021380,91-22-26673193,gel@gherzieastern.com,www.wadiaengg.com
24835,National Highways Authority Of India,155597,Ludhiana-Talwandi Bhai (NH-95) Four Laning Highway Project (Package-II),1060,Contractor,Ceigall India Ltd.,353351,India,"Registered Office:A-898, Tagore Nagar, Opp. K V M School,",141001,Ludhiana,Punjab,91-161-4623666,,info@ceigall.com,www.ceigall.com
24836,National Highways Authority Of India,155597,Lumding-Daboka (AS-15) Highway Project,277,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
24837,National Highways Authority Of India,155597,Lumding-Daboka (AS-15) Highway Project,277,Contractor,Patel Engineering Ltd.,172333,India,"Corporate Office:B-26/1, Aver House, Veera Desai Industrial Road, Off New Link Road, Andheri (West),",400053,Mumbai,Maharashtra,91-22-26767500,,investors@pateleng.com,www.pateleng.com
24838,National Highways Authority Of India,155597,Madathukulam-Pollachi (NH-83) Four Lane Highway Project (Package-3 of Dindigul-Pollachi) (Bharatmala),1501,Contractor,D P Jain & Co Infrastructure Pvt. Ltd.,409463,India,"Registered Office:U/6, Himalaya Accord Apartment Opp. Law College Amravati Road,",440010,Nagpur,Maharashtra,91-712-2535357,91-712-2560836,dpjain.company@dpjaingroup.com,www.dpjaingroup.com
24839,National Highways Authority Of India,155597,Madhura Bazaar-Chullikad Road Upgradation Project (Bharatmala),1721,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24840,National Highways Authority Of India,155597,Madiaon-IIM Crossing (NH-24) Elevated Corridor Project,1310,Contractor,Kaluwala Construction Pvt. Ltd.,614021,India,"Registered Office:201, 2nd Floor, I T Space Tikri, Sector 48, IRIS Tech Park Sector-48,",122103,Gurugram,Haryana,,,kcc.bablu@gmail.com,
24841,National Highways Authority Of India,155597,Madurai Four Lane Ring Road Project,1498,Contractor,N C C Ltd.,153366,India,"Corporate Office:Nagarjuna Hills,",500082,Hyderabad,Telangana,91-40-23351753,91-40-23350214,nccho@ncc-ltd.com,www.ncclimited.com
24842,National Highways Authority Of India,155597,Madurai-Chettikulam (NH-785) Four Laning Elevated Highway (Flyover) Project,1482,Contractor,J M C Projects (india) Ltd. [merged],104087,India,"Corporate Office:6th Floor, Kalpatru Synergy, Opp. Grand Hyatt, Santacruz-East,",400055,Mumbai,Maharashtra,91-22-68851500,91-22-68851555,cs@jmcprojects.com,www.jmcprojects.com
24843,National Highways Authority Of India,155597,Madurai-Kanniakumari Section (NS-40/TN) NH-7 Project,466,Contractor,I V R C L Ltd.,97156,India,"Corporate Office:Mihir,8-2-350/5/A/24/1-B & 2, Road No.2, Panchvati Colony, Banjara Hills,",500034,Hyderabad,Telangana,91-40-23356613,91-40-23356693,info@ivrinfra.com,www.ivrcl.com
24844,National Highways Authority Of India,155597,Madurai-Kanniyakumari (NS-41/TN) Highway Project,467,Contractor,I V R C L Ltd.,97156,India,"Corporate Office:Mihir,8-2-350/5/A/24/1-B & 2, Road No.2, Panchvati Colony, Banjara Hills,",500034,Hyderabad,Telangana,91-40-23356613,91-40-23356693,info@ivrinfra.com,www.ivrcl.com
24845,National Highways Authority Of India,155597,Madurai-Kanniyakumari Section (NS-42/TN) NH-7 Highway Project,468,Consultant,Aarvee Associates Pvt. Ltd.,331065,India,"Registered Office:8-2-5, Ravula Residency, Srinagar City, Main Road,",500082,Hyderabad,Telangana,91-40-23737633,91-40-23736277,aarvee@aarvee.net,www.aarvee.com
24846,National Highways Authority Of India,155597,Madurai-Kanniyakumari Section (NS-42/TN) NH-7 Highway Project,468,Contractor,S M S Ltd.,218106,India,"Corporate Office:20, I T Park, Parsodi,",440022,Nagpur,Maharashtra,91-712-6665000,91-712-6665100,info@smsl.co.in,www.smsl.co.in
24847,National Highways Authority Of India,155597,Madurai-Paramakudi (NH-49) Four Laning Highway Project (Madurai-Ramanathapuram Highway),888,Consultant,Vax Consultants Pvt. Ltd.,263468,India,"Registered Office:E & F II Floor, 1 Vardaraja Street, T Nagar, Kannama Pet,",600017,Chennai,Tamil Nadu,91-44-24311085,91-44-24314837,vaxcon@vsnl.in,
24848,National Highways Authority Of India,155597,Madurai-Paramakudi (NH-49) Four Laning Highway Project (Madurai-Ramanathapuram Highway),888,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
24849,National Highways Authority Of India,155597,Madurai-Tirunelveli section including Madurai Bypass (NS-39/TN) NH-7 Project,268,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
24850,National Highways Authority Of India,155597,Madurai-Tirunelveli section including Madurai Bypass (NS-39/TN) NH-7 Project,268,Contractor,Patel Engineering Ltd.,172333,India,"Corporate Office:B-26/1, Aver House, Veera Desai Industrial Road, Off New Link Road, Andheri (West),",400053,Mumbai,Maharashtra,91-22-26767500,,investors@pateleng.com,www.pateleng.com
24851,National Highways Authority Of India,155597,Madurai-Tirunelveli Section To Panagudi (NS-43/TN) Highway Project,414,Consultant,Aarvee Associates Pvt. Ltd.,331065,India,"Registered Office:8-2-5, Ravula Residency, Srinagar City, Main Road,",500082,Hyderabad,Telangana,91-40-23737633,91-40-23736277,aarvee@aarvee.net,www.aarvee.com
24852,National Highways Authority Of India,155597,Madurai-Tirunelveli Section To Panagudi (NS-43/TN) Highway Project,414,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
24853,National Highways Authority Of India,155597,Madurai-Tirunelveli Section To Panagudi (NS-43/TN) Highway Project,414,Contractor,Patel Engineering Ltd.,172333,India,"Corporate Office:B-26/1, Aver House, Veera Desai Industrial Road, Off New Link Road, Andheri (West),",400053,Mumbai,Maharashtra,91-22-26767500,,investors@pateleng.com,www.pateleng.com
24854,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Belgaum-Dharwad) Highway Project,83,Consultant,Consulting Engineers Group Ltd.,328249,India,"Registered Office:7th Floor, B-11(G), Industrial Area, Malviya Nagar,",302017,Jaipur,Rajasthan,91-141-2751801,91-141-2751806,accounts@cegindia.com,www.cegindia.com
24855,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Belgaum-Dharwad) Highway Project,83,Consultant,Roughton International Ltd.,332163,UK,"Registered Office:Siri Residency, Flat No.504, Door No.6-3-680/8/2, Somajiguda,",500082,Hyderabad,Telangana,,,piouslin.samuel@roughton.com,www.roughton.com
24856,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Belgaum-Dharwad) Highway Project,83,Contractor,Sunway Construction Bhd,282631,Malaysia,"Registered Office:Level 8, Menara Sunway, Jalan Lagoon Timur, Bandar Sunway, 46150 Petaling Jaya, Selangor Darul Ehsan, Malaysia",NA,,,,,,
24857,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Belgaum-Dharwad) Highway Project,83,Contractor,R N Shetty & Co.,332162,India,,NA,,,,,,
24858,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Hubli-Haveri) Highway Project,114,Consultant,Consulting Engineers Group Ltd.,328249,India,"Registered Office:7th Floor, B-11(G), Industrial Area, Malviya Nagar,",302017,Jaipur,Rajasthan,91-141-2751801,91-141-2751806,accounts@cegindia.com,www.cegindia.com
24859,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Hubli-Haveri) Highway Project,114,Consultant,Roughton International Ltd.,332163,UK,"Registered Office:Siri Residency, Flat No.504, Door No.6-3-680/8/2, Somajiguda,",500082,Hyderabad,Telangana,,,piouslin.samuel@roughton.com,www.roughton.com
24860,National Highways Authority Of India,155597,Mah/Kar Border-Haveri(Hubli-Haveri) Highway Project,114,Contractor,Afcons Infrastructure Ltd.,7231,India,"Registered Office:Afcons House, 16, Shah Industrial Estate, Veera Desai Road, Andheri (West),",400053,Mumbai,Maharashtra,91-22-67191000,91-22-26730047,rajendran@afcons.com,www.afcons.com
24861,National Highways Authority Of India,155597,Mahatma Gandhi Setu Revamp Project,879,Consultant,S N Bhobe & Associates Pvt. Ltd.,383551,India,"Registered Office:Banking Complex No. II, Unit No. 10, Plot No. 9 & 10, Sector No. 19-A, Vashi,",400705,Navi Mumbai,Maharashtra,91-22-27831070,91-22-27831173,accounts@snbapl.com,www.snbapl.com
24862,National Highways Authority Of India,155597,Mahatma Gandhi Setu Revamp Project,879,Consultant,Japan International Cooperation Agency,434751,Japan,"Registered Office:2nd Floor, Dr. Gopal Das Bhawan, 28, Barakhamba Road,",110001,New Delhi,NCT of Delhi,91-11-47685500,91-11-4768555,,www.jica.go.jp
24863,National Highways Authority Of India,155597,Mahatma Gandhi Setu Revamp Project,879,Contractor,Afcons Infrastructure Ltd.,7231,India,"Registered Office:Afcons House, 16, Shah Industrial Estate, Veera Desai Road, Andheri (West),",400053,Mumbai,Maharashtra,91-22-67191000,91-22-26730047,rajendran@afcons.com,www.afcons.com
24864,National Highways Authority Of India,155597,Mahatma Gandhi Setu Revamp Project,879,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24865,National Highways Authority Of India,155597,Maheshkhunt-Saharsa-Purnea (NH-107 & 231) Two Laning Road Project (Package-II),1250,Contractor,Gammon India Ltd.,78250,India,"Head Office:Gammon House, Veer Savarkar Marg, Prabhadevi,",400025,Mumbai,Maharashtra,91-22-61153000,91-22-24300221,gammon@gammonindia.com,www.gammonindia.com
24866,National Highways Authority Of India,155597,Maheshkoot-Saharsa-Purnea (NH-107 & 231) Two Laning Road Project (Package-I),1129,Contractor,Gannon Dunkerley & Co. Ltd.,78966,India,"Registered Office:New Excelsior Building, 3rd Floor, A K Nayak Marg, Fort,",400001,Mumbai,Maharashtra,91-22-22051231,91-22-22051232,gdho1@mtnl.net.in,www.gannondunkerley.com
24867,National Highways Authority Of India,155597,Mahua-Jaipur Highway (NH-11) Project,616,Turnkey contractor,I J M Corpn. Bhd,96657,Malaysia,"Registered Office:2nd Floor, Wisma IJM, 46050, Talan Hong Shock, Peraling Jaya, Selangot Darul Ehsan, Malaysia,",NA,,,,,,
24868,National Highways Authority Of India,155597,Mahulia-Baharagora-JH/WB Border (NH-33 & NH-6) Four Laning Highway Project,1036,Consultant,Rodic Consultants Pvt. Ltd.,307240,India,"Corporate Office:1, Jai Singh Road,",110001,New Delhi,NCT of Delhi,91-11-49434500,91-11-49434501,contact@rodicconsultants.com,www.rodicconsultants.com
24869,National Highways Authority Of India,155597,Mahulia-Baharagora-JH/WB Border (NH-33 & NH-6) Four Laning Highway Project,1036,Consultant,S M E C (india) Pvt. Ltd.,320431,India,"Corporate Office:5th Floor, Tower C, Building No. 8, DLF Cyber City Phase 2,",122002,Gurgaon,Haryana,91-124-4552800,91-124-4380043,india@smec.com,
24870,National Highways Authority Of India,155597,Mahulia-Baharagora-JH/WB Border (NH-33 & NH-6) Four Laning Highway Project,1036,Contractor,Dilip Buildcon Ltd.,386908,India,"Corporate Office:E-5/99, Arera Colony,",462016,Bhopal,Madhya Pradesh,91-755-2461064,91-755-4247574,contactus@dbl.co.in,www.dilipbuildcon.com
24871,National Highways Authority Of India,155597,Mahuva-Kagavadar (NH-8E & NH-51) (Package-III Bhavnagar-Veraval Section) Four Lane Highway Project,1903,Consultant,Stup Consultants Pvt. Ltd.,237364,India,"Registered Office:Unit No. 2702, 27th Floor, Rupa Renaissance, Plot D-33, D-207, Juinagar, MIDC TTC Industrial Area,",400705,Mumbai,Maharashtra,,,mumbai@stupmail.com,www.stupco.com
24872,National Highways Authority Of India,155597,Mahuva-Kagavadar (NH-8E & NH-51) (Package-III Bhavnagar-Veraval Section) Four Lane Highway Project,1903,Contractor,K C C Buildcon Pvt. Ltd.,413692,India,"Registered Office:B U 5, 2nd Floor, S F S Flats, Outer Ring Road, Pitampura,",110034,Delhi,NCT of Delhi,91-11-47581001,,kcc.del@gmail.com,www.kccbuildcon.co.in
24873,National Highways Authority Of India,155597,Mahuva-Kagavadar (NH-8E & NH-51) (Package-III Bhavnagar-Veraval Section) Four Lane Highway Project,1903,Promoter,National Highways Authority Of India,155597,India,"Head Office:Plot No. G-5 & 6, Sector-10, Dwarka,",110075,New Delhi,NCT of Delhi,91-11-25074100,91-11-25093507,nhaiweb@nhai.org,www.nhai.gov.in
24874,National Highways Authority Of India,155597,Majholi-Katra-Yajuar-Kharka Basant-Majhaur-Baher-Pupri-Charout (NH-527C)Two-Lane Highway Project,1182,Contractor,Ram Kripal Singh Construction Pvt. Ltd.,384939,India,"Corporate Office:308 & 309, Suncity Shopping Arcade, Sector-54,",122002,Gurgaon,Haryana,91-124-2572879,,rkscpl@rkscpl.com,www.rkscpl.com
24875,National Highways Authority Of India,155597,Major Bridge on Chakan River to Major Bridge on Mej River Eight Lane Carriageway Project (Package-11 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1562,Contractor,L & T Construction,560291,India,"Registered Office:Mount Poonamallee Road, Manapakkam, P B No.979,",600089,Chennai,Tamil Nadu,91-44-22526000,91-44-22493317,info@lntecc.com,www.lntecc.com
24876,National Highways Authority Of India,155597,Major Bridge on Mej River to Junction with SH-37A Eight Lane Carriageway Project (Package 12 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1563,Contractor,G R Infraprojects Ltd.,380699,India,"Corporate Office:2nd Floor, Novus Tower, Plot No. 18, Sector 18,",122015,Gurgaon,Haryana,91-124-6435000,,cs@grinfra.com,www.grinfra.com
24877,National Highways Authority Of India,155597,Major bridge over Takli river near Nayagaon Jageer village to Rajasthan/MP Border Eight Lane Carriageway Project (Package 16 of Delhi-Mumbai Expressway),1569,Consultant,Feedback Infra Pvt. Ltd.,72655,India,"Registered Office:311, 3rd Floor, Vardhman Plaza, Plot No.6, Pocket 7, Sector 12, Dwarka,",110078,New Delhi,NCT of Delhi,91-11-28035884,,secretarial@feedbackinfra.com,www.feedbackinfra.com
24878,National Highways Authority Of India,155597,Major bridge over Takli river near Nayagaon Jageer village to Rajasthan/MP Border Eight Lane Carriageway Project (Package 16 of Delhi-Mumbai Expressway),1569,Contractor,Dineshchandra R Agarwal Infracon Pvt. Ltd.,396222,India,"Registered Office:Agarwal Complex Near Lions Hall,",385535,Banas Kantha,Gujarat,91-2744-222115,,dra99@rediffmail.com,www.draipl.com
24879,National Highways Authority Of India,155597,Mall Road-Lal Bahadur Shastri National Academy of Administration (LBSNAA) Two Lane Tunnel (Mussoorie Tunnel) Project,2071,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24880,National Highways Authority Of India,155597,Malout-Abohar-Sadhuwali Four Lane Road Project,1804,Contractor,Ceigall India Ltd.,353351,India,"Registered Office:A-898, Tagore Nagar, Opp. K V M School,",141001,Ludhiana,Punjab,91-161-4623666,,info@ceigall.com,www.ceigall.com
24881,National Highways Authority Of India,155597,Mamallapuram-Mugaiyur section of NH-332A Four Lane Highway Project (Phase 1),1779,Contractor,J S R Developers Pvt. Ltd.,455098,India,"Registered Office:J S W Towers, 4th Floor, New No.17/ Old No.8, Vijayaragava Road, T Nagar,",600017,Chennai,Tamil Nadu,91-44-28152840,,admin@jsrinfraa.com,www.jsrinfraa.com
24882,National Highways Authority Of India,155597,Mancherial-Repallewada (NH-363) Four Lane Highway Project (Bharatmala),1426,Contractor,Adani Road Transport Ltd.,595357,India,"Registered Office:Adani House, Nr. Mithakhali Six Road,",380009,Ahmedabad,Gujarat,91-79-26565555,,deepak.pandya@adani.com,www.adanienterprises.com
24883,National Highways Authority Of India,155597,Mancherial-Repallewada (NH-363) Four Lane Highway Project (Bharatmala),1426,Sub contractor,H G Infra Engg. Ltd.,410701,India,"Corporate Office:III Floor, Sheel Mohar Plaza, A-1 Tilak Marg, C-Scheme,",302001,Jaipur,Rajasthan,91-141-4106040,91-141-4106044,cs@hginfra.com,www.hginfra.com
24884,National Highways Authority Of India,155597,Mancherial-Warangal (NH-163G) Four Lane Access Controlled Greenfield Highway Project (Ramaraopet village to Oorugonda village),1949,Consultant,K & J Projects Pvt. Ltd.,539032,India,"Registered Office:Shivam, 16 Nit Layout, Ravinagar,",440033,Nagpur,Maharashtra,91-712-2556402,91-712-2556403,contact@knjprojects.com,www.knjprojects.com
24885,National Highways Authority Of India,155597,Mancherial-Warangal (NH-163G) Four Lane Access Controlled Greenfield Highway Project (Ramaraopet village to Oorugonda village),1949,Contractor,Megha Engineering & Infrastructures Ltd.,379812,India,"Head Office:S-2, Technocrat Industrial Estate, Balanagar,",500037,Hyderabad,Telangana,91-40-44336700,91-40-44336800,info@meil.in,www.meil.in
24886,National Highways Authority Of India,155597,Mandi Dabwali (Punjab/Haryana border)-Chautala Six Lane Road Project,1807,Contractor,V R C Constructions (india) Pvt. Ltd.,326267,India,"Registered Office:Plot No.16, VRC Tower, Paschim Vihar Ext., Rohtak Road, Paschim Vihar,",110063,Delhi,NCT of Delhi,,,vrcon@hotmail.com,www.vrccon.co.in
24887,National Highways Authority Of India,155597,Manewal (Ludhiana) to Bheora (Rupnagar) including Spur to Kharar with Ludhiana Bypass (Ludhiana-Rupnagar NH-205K) Six Lane Access Controlled Greenfield Highway Project (Package-2),1993,Contractor,Ceigall India Ltd.,353351,India,"Registered Office:A-898, Tagore Nagar, Opp. K V M School,",141001,Ludhiana,Punjab,91-161-4623666,,info@ceigall.com,www.ceigall.com
24888,National Highways Authority Of India,155597,Mangalwar-Udaipur (KU-VI) Highway Project,129,Consultant,S M E C International Pty. Ltd.,203789,Australia,"Registered Office:Chowdhury Bhawan, House No.33, 2nd Floor, Barthakur Mill Road, Ulubari,",781007,Guwahati,Assam,91-361-2460042,91-361-2461482,statutoryinfo.india@smec.com,www.smec.com
24889,National Highways Authority Of India,155597,Mangalwar-Udaipur (KU-VI) Highway Project,129,Contractor,P B A Infrastructure Ltd.,165960,India,"Registered Office:611/3, V N Purav Marg, Chembur (East),",400071,Mumbai,Maharashtra,91-22-61277200,91-22-61277203,pbamumbai@gmail.com,www.pbainfra.in
24890,National Highways Authority Of India,155597,Mangalwar-Udaipur (KU-VI) Highway Project,129,Contractor,Sadbhav Engineering Ltd.,206660,India,"Head Office:'Sadbhav House', Opp. Law Garden Police Chowki, Ellisbridge,",380006,Ahmedabad,Gujarat,"91-79-26463384,26460047",91-79-26400210,sadbhavad1@sancharnet.in,www.sadbhaveng.com
24891,National Highways Authority Of India,155597,Mania-Dholpur Highway Project,967,Consultant,I C T Pvt. Ltd.,284672,India,"Registered Office:A - 8 & A - 9, Green Park Main,",110016,New Delhi,NCT of Delhi,91-11-40863000,91-11-26855252, info@ictonline.com,www.ictonline.com
24892,National Highways Authority Of India,155597,Mania-Dholpur Highway Project,967,Contractor,M B L Infrastructure Ltd.,136291,India,"Corporate Office:Banani Corporate One Tower, Suite #303-308, 3rd Floor, Jasola, Plot No.5, Commercial Centre,",110025,New Delhi,NCT of Delhi,91-11-49593300,91-11-48593320,delhi@mblinfra.com,www.mblinfra.com
24893,National Highways Authority Of India,155597,Manoharpur-Dausa (NH-11A) Two-Laning Highway Project,1190,Contractor,H G Infratech Pvt. Ltd.,529686,India,"Corporate Office:Govind Baag, Gandhi Road, (Near Shaheed Gate), Gwalior -474 011 (Madhya Pradesh)",NA,,,,,info@hggroup.co.in,
24894,National Highways Authority Of India,155597,Marripudi-Somavarappadu Six Lane Access Controlled Highway (NH-544G) Project (Package-13 of Bengaluru-Kadapa-Pulivendula-Vijayawada Expressway),2112,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
24895,National Highways Authority Of India,155597,Mataur (Kangra)-Shimla (NH-88) Four Laning Highway Project,1219,Consultant,Intercontinental Consultants & Technocrats Pvt. Ltd.,101811,India,"Corporate Office:A - 8 & A -9, Green Park Main,",110016,New Delhi,NCT of Delhi,91-11-40863000,91-11-26855252,business@ictonline.com,www.ictonline.com
24896,National Highways Authority Of India,155597,Mataur (Kangra)-Shimla (NH-88) Four Laning Highway Project,1219,Contractor,N G Projects Ltd.,363366,India,"Registered Office:N G Circle, Mehtapura, Himatnagar,",383001,Sabar Kantha,Gujarat,91-2772-222404,91-2772-223950,ngpl_hmt@rediffmail.com,
24897,National Highways Authority Of India,155597,Mataur (Kangra)-Shimla (NH-88) Four Laning Highway Project,1219,Contractor,Jandu Construction India Pvt. Ltd.,646179,India,"Registered Office:H. No. 323 Aggarsain Colony, SBI Street,",125055,Sirsa,Haryana,,,janduconstco@yahoo.com,
24898,National Highways Authority Of India,155597,Mathura-Hathras-Badaun-Bareilly (NH-530B) Four Lane Highway Project,1681,Contractor,P N C Infratech Ltd.,296258,India,"Corporate Office:P N C Tower, 3/22-D, Civil Lines, Agra Delhi Bypass Road, National Highway 2,",282005,Agra,Uttar Pradesh,91-562-4054400,91-562-4070011,complianceofficer@pncinfratech.com,www.pncinfratech.com
24899,National Highways Authority Of India,155597,Mathura-Hathras-Badaun-Bareilly (NH-530B) Four Lane Highway Project,1681,Contractor,G R Infraprojects Ltd.,380699,India,"Corporate Office:2nd Floor, Novus Tower, Plot No. 18, Sector 18,",122015,Gurgaon,Haryana,91-124-6435000,,cs@grinfra.com,www.grinfra.com
24900,National Highways Authority Of India,155597,Matsyafed Tourist Office-Munambam Road Upgradation Project,1739,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24901,National Highways Authority Of India,155597,Medshi-Washim (NH-161) Four Lane Highway project (Package-II),1696,Contractor,Montecarlo Ltd.,148976,India,"Corporate Office:Montecarlo House,Sindhu Bhavan Road, Bodakdev,",380058,Ahmedabad,Gujarat,91-79-26409333,91-79-26408444,mail@mclindia.com,www.mclindia.com
24902,National Highways Authority Of India,155597,Meensurutti-Chidambaram (NH-81 & NH-227) Two/Four Lane Highway Project (Package-III of Trichy-Chidambaram) (Bharatmala),1770,Consultant,Aarvee Associates Architects Engineers & Consultants Pvt. Ltd.,391779,India,"Registered Office:8-2-5, Ravula Residency, Srinagar Cly, Main Road,",500082,Hyderabad,Telangana,91-40-48483456,91-40-23736277,aarvee@aarvee.net,www.aarvee.com
24903,National Highways Authority Of India,155597,Meensurutti-Chidambaram (NH-81 & NH-227) Two/Four Lane Highway Project (Package-III of Trichy-Chidambaram) (Bharatmala),1770,Contractor,R N S Infrastructure Ltd.,377885,India,"Corporate Office:7th Floor, Naveen Complex #14, M G Road,",560001,Bengaluru,Karnataka,91-80-25584181,91-80-25584017,,www.rnsil.com
24904,National Highways Authority Of India,155597,Meensurutti-Chidambaram (NH-81 & NH-227) Two/Four Lane Highway Project (Package-III of Trichy-Chidambaram) (Bharatmala),1770,Contractor,Sunway Construction Group Bhd,525925,Malaysia,,NA,,,,,,
24905,National Highways Authority Of India,155597,Meerut New Bypass (NH-58) to Meerut-Najibabad (NH-119) (NH-709A) Four Lane Link Road Project (Four Lane Spur of Meerut-GarhMukteshwar Section),1938,Consultant,S A Infrastructure Consultants Pvt. Ltd.,537251,India,"Registered Office:B-4/8, Glaxo Apartments, Mayur Vihar, Phase-I,",110091,New Delhi,NCT of Delhi,91-120-6148000,,fidele.sra@gmail.com,www.sainfra.com
24906,National Highways Authority Of India,155597,Meerut New Bypass (NH-58) to Meerut-Najibabad (NH-119) (NH-709A) Four Lane Link Road Project (Four Lane Spur of Meerut-GarhMukteshwar Section),1938,Contractor,Raj Shyama Constructions Pvt. Ltd.,389920,India,"Registered Office:49 F/F Ring Road, Lajpatnagar,",110024,New Delhi,NCT of Delhi,,,rajshyama.gzb@gmail.com,
